id,name,district_code,created_at,updated_at,soil_samples_count
16,North 24 Parganas,15,2015-11-04 18:28:09.000000,2015-11-04 18:28:09.000000,69636
18,Dakshin Dinajpur,17,2015-11-04 18:28:09.000000,2015-11-04 18:28:09.000000,54555
14,Nadia,13,2015-11-04 18:28:09.000000,2015-11-04 18:28:09.000000,111899
10,Malda,09,2015-11-04 18:28:09.000000,2015-11-04 18:28:09.000000,79236
15,Purulia,14,2015-11-04 18:28:09.000000,2015-11-04 18:28:09.000000,23686
11,Paschim Medinipur,10,2015-11-04 18:28:09.000000,2015-11-04 18:28:09.000000,124928
1,Bankura,01,2015-11-04 18:28:09.000000,2015-11-04 18:28:09.000000,43884
4,Darjeeling,04,2015-11-04 18:28:09.000000,2015-11-04 18:28:09.000000,11895
7,Jalpaiguri,07,2015-11-04 18:28:09.000000,2015-11-04 18:28:09.000000,35919
8,ALIPURDUAR,19,2015-11-04 18:28:09.000000,2015-11-04 18:28:09.000000,34694
9,Koochbihar,08,2015-11-04 18:28:09.000000,2015-11-04 18:28:09.000000,61885
2,Bardhaman,02,2015-11-04 18:28:09.000000,2015-11-04 18:28:09.000000,156407
19,Uttar Dinajpur,18,2015-11-04 18:28:09.000000,2015-11-04 18:28:09.000000,63666
13,Murshidabad,12,2015-11-04 18:28:09.000000,2015-11-04 18:28:09.000000,141469
6,Hooghly,06,2015-11-04 18:28:09.000000,2016-03-31 09:40:21.468131,71970
12,Purba Medinipur,11,2015-11-04 18:28:09.000000,2015-11-04 18:28:09.000000,57195
5,Howrah,05,2015-11-04 18:28:09.000000,2016-03-31 09:39:45.098644,25752
3,Birbhum,03,2015-11-04 18:28:09.000000,2015-11-04 18:28:09.000000,77608
17,South 24 Parganas,16,2015-11-04 18:28:09.000000,2015-11-04 18:28:09.000000,55613
